id,prod_id,product_name,unit,quantity,rate,tax_rate,total,description,discount_rate,discount_amount,sequence,tax_amount,unique_key_fk_purchase,unique_key_fk_product,unique_key_list_item,local_purchase_id,org_Id,purchase_product_code,taxable_flag,tax_list,unique_key_fk_return_purchase,unique_key_return_purchase_list_item
98,0,LAN jointer,,10,10,0,100,,0,0,0,0,Purchase@1734028495720a4221984t0qyv24ep,Product@1734028699286934feb50ncm28bsm8,PurchaseItem@1734028699403a09f17c5d0gq5su4o,0,61545,,0,[],,
99,0,i7 4th\/16gb Ram\/256gb Ssd\/1tb Hdd\/2gb Graphics\/Samsung 22\/Dell Keyboard Mouse,,1,17080,0,17080,,0,0,0,0,56de6bdb8d73b1011737710503680,03140fb9a2e59e0b1723886862983,56de6bdb8d73b1011737710503682,0,61545,,0,[],,
100,0,Sato To 3.0 Converter,,5,200,0,1000,,0,0,0,0,Purchase@173912328332081ff20e5mvjgz71wz,56de6bdb8d73b1011721717827576,PurchaseItem@1739123356710b4800d10jnmxixe0w,0,61545,,0,[],,
101,0,CMOS,,10,60,0,600,,0,0,0,0,Purchase@173912328332081ff20e5mvjgz71wz,56de6bdb8d73b1011722966934103,PurchaseItem@1739123377127976aa369rf2izgui1,0,61545,,0,[],,
102,0,AUX,,3,30,0,90,,0,0,0,0,Purchase@173912328332081ff20e5mvjgz71wz,Product@1739123468880b0a95b6eihojoraki,PurchaseItem@17391234689298da1987b39fpv0yrw,0,61545,,0,[],,
103,0,AUX premium,,2,35,0,70,,0,0,0,0,Purchase@173912328332081ff20e5mvjgz71wz,Product@1739123489604b055743bw9rzcarnl,PurchaseItem@17391234896588b09fc73yb9haqflt,0,61545,,0,[],,
104,0,Usb hub 2.0 quantron,,3,120,0,360,,0,0,0,0,Purchase@173912359663780ab8639h64a6c2l2,Product@173912363460290e21ab7vo3d074fj,PurchaseItem@1739123634640b47c24ca2s50xs5ez,0,61545,,0,[],,
105,0,thunderbolt to vga,,1,150,0,150,vga output for macbook,0,0,0,0,Purchase@1741608387242bc789be3ssg59nyk7,Product@17416084434048fb1cc72xu4cz7ex7,PurchaseItem@1741608443554b3a250cerz6m99y9n,0,61545,,0,[],,
106,0,sata to usb 12 volt,,1,450,0,450,,0,0,0,0,Purchase@1741608387242bc789be3ssg59nyk7,Product@174160847776888f8a6f6k8cv4fcd3,PurchaseItem@1741608477930a9bdb800rjz3scj3f,0,61545,,0,[],,
107,0,C6N camera,,1,1400,0,1400,,0,0,0,0,Purchase@1741608387242bc789be3ssg59nyk7,Product@1741608500766a600f627xermjlln0,PurchaseItem@1741608500936ad91b8be83f04qy95,0,61545,,0,[],,
108,0,128 gb SD card,,1,500,0,500,,0,0,0,0,Purchase@1741608387242bc789be3ssg59nyk7,Product@1741608520380a218c2c8k3zk74013,PurchaseItem@1741608520552bfabdf49ptec4hdq1,0,61545,,0,[],,
109,0,1tb seagate external,,1,5300,0,5300,,0,0,0,0,Purchase@1741608661112a561be4370miwgmpb,Product@1741608692967af198874uy0l4jm47,PurchaseItem@174160869310994a34977anb07ldxh,0,61545,,0,[],,
110,0,HP KB\/MOUSE wl,,1,1050,0,1050,,0,0,0,0,Purchase@1741608661112a561be4370miwgmpb,Product@1741608724171abc5eaf54hfy5i1al,PurchaseItem@1741608724361b9a1b6d5c4zawhdtz,0,61545,,0,[],,
111,0,Charger,,1,350,0,350,Techie,0,0,0,0,Purchase@1741608661112a561be4370miwgmpb,56de6bdb8d73b1011720548487881,PurchaseItem@1741608759137bc4491876kj8er3bw,0,61545,65w,0,[],,
112,0,Laptop Power Cable,,1,50,0,50,,0,0,0,0,Purchase@1741608661112a561be4370miwgmpb,56de6bdb8d73b1011722264783063,PurchaseItem@1741608771448895cbd68ffdb715b7,0,61545,,0,[],,
113,0,m.2 to usb case,,1,480,0,480,,0,0,0,0,Purchase@1741608661112a561be4370miwgmpb,Product@1741608905824ba84afefhuct9wkcp,PurchaseItem@17416089059998a87e0f5khonn51pt,0,61545,,0,[],,
